query,doi,title
management information systems for self-directed performance feedback and transparency,10.1287/isre.2021.0337,The Impact of Transparency-Inducing Management Information System Use on Employees’ Daily Work Performance
unintended consequences of platform information disclosure design,10.1287/isre.2023.0137,The Costs of Ambiguous Information Disclosure: On the Unintended Consequences of Providing Restaurant Hygiene Scores on Platforms in the United States
signaling theory application to digital platform hygiene score disclosure,10.1287/isre.2023.0137,The Costs of Ambiguous Information Disclosure: On the Unintended Consequences of Providing Restaurant Hygiene Scores on Platforms in the United States
impact of simplified information cues on consumer trust in online reviews,10.1287/isre.2023.0137,The Costs of Ambiguous Information Disclosure: On the Unintended Consequences of Providing Restaurant Hygiene Scores on Platforms in the United States
Social media affiliate marketing and consumer engagement with disclosure policies,10.1287/isre.2023.0158,The Effects of the FTC Policy and Affiliation Disclosures on Product Review Video Engagement: Evidence from YouTube
Signaling theory application in online influencer marketing and regulatory compliance,10.1287/isre.2023.0158,The Effects of the FTC Policy and Affiliation Disclosures on Product Review Video Engagement: Evidence from YouTube
FTC disclosure impact on user engagement with sponsored video content,10.1287/isre.2023.0158,The Effects of the FTC Policy and Affiliation Disclosures on Product Review Video Engagement: Evidence from YouTube
digital platform adoption for financial inclusion among low-income users,10.1287/isre.2023.0673,"Working Daily, Paid Monthly? Effects of On-Demand Wage Access on the Financial Engagement of Low-Wage Workers"
self-determination theory technology acceptance gig economy workers,10.1287/isre.2023.0673,"Working Daily, Paid Monthly? Effects of On-Demand Wage Access on the Financial Engagement of Low-Wage Workers"
on-demand wage access impact fintech continuance intention low-wage earners,10.1287/isre.2023.0673,"Working Daily, Paid Monthly? Effects of On-Demand Wage Access on the Financial Engagement of Low-Wage Workers"
human-AI collaboration framework for sequential decision-making in scientific discovery,10.1287/isre.2024.1154,Collaborative Intelligence in Sequential Experiments: A Human-in-the-Loop Framework for Drug Discovery
Dual-Process Theory application in human-in-the-loop systems for pharmaceutical research,10.1287/isre.2024.1154,Collaborative Intelligence in Sequential Experiments: A Human-in-the-Loop Framework for Drug Discovery
technology adoption of collaborative intelligence platforms in drug development teams,10.1287/isre.2024.1154,Collaborative Intelligence in Sequential Experiments: A Human-in-the-Loop Framework for Drug Discovery
graph neural network applications in retail decision support systems,10.1287/isre.2023.0773,Beyond Complements and Substitutes: A Graph Neural Network Approach for Collaborative Retail Sales Forecasting
cross-category choice dependence theory for product relationship modeling,10.1287/isre.2023.0773,Beyond Complements and Substitutes: A Graph Neural Network Approach for Collaborative Retail Sales Forecasting
collaborative forecasting for inventory management using product networks,10.1287/isre.2023.0773,Beyond Complements and Substitutes: A Graph Neural Network Approach for Collaborative Retail Sales Forecasting
monetary incentives for user adoption and continuance of mobile health applications,10.1287/isre.2021.0575,Data Donations for Digital Contact Tracing: Short- and Long-Term Effects of Monetary Incentives
Self-Determination Theory digital contact tracing app data sharing,10.1287/isre.2021.0575,Data Donations for Digital Contact Tracing: Short- and Long-Term Effects of Monetary Incentives
incentive design for sustained data donation in public health technology,10.1287/isre.2021.0575,Data Donations for Digital Contact Tracing: Short- and Long-Term Effects of Monetary Incentives
gamification design and user engagement in online knowledge communities,10.1287/isre.2023.0091,Game for Brainstorm: The Impact of a Badge System on Knowledge Sharing
self-determination theory application in gamified knowledge sharing platforms,10.1287/isre.2023.0091,Game for Brainstorm: The Impact of a Badge System on Knowledge Sharing
impact of badge reward systems on knowledge contribution and user satisfaction,10.1287/isre.2023.0091,Game for Brainstorm: The Impact of a Badge System on Knowledge Sharing
social media marketing impact on perceived product quality and consumer trust,10.1287/isre.2023.0625,Signaling Quality to Consumers: The Role of Social Media Marketing
signaling theory application in digital marketing and online consumer behavior,10.1287/isre.2023.0625,Signaling Quality to Consumers: The Role of Social Media Marketing
how high-quality firms use social media for brand signaling and differentiation,10.1287/isre.2023.0625,Signaling Quality to Consumers: The Role of Social Media Marketing
social influence and user engagement in crowdfunding platform success,10.1287/isre.2021.0612,The Power of Conversation: Analyzing the Impact of Starter Response on Backer Accumulation in Crowdfunding
signaling theory application in reward-based crowdfunding campaigns,10.1287/isre.2021.0612,The Power of Conversation: Analyzing the Impact of Starter Response on Backer Accumulation in Crowdfunding
project creator communication impact on backer adoption and herding behavior,10.1287/isre.2021.0612,The Power of Conversation: Analyzing the Impact of Starter Response on Backer Accumulation in Crowdfunding
technology adoption in luxury service encounters,10.1287/isre.2023.0229,Understanding and Mitigating the Robot Disadvantage in Luxury Services: The Role of Desire for Superiority
social comparison theory applied to service robot acceptance,10.1287/isre.2023.0229,Understanding and Mitigating the Robot Disadvantage in Luxury Services: The Role of Desire for Superiority
mitigating consumer resistance to automation in high-end hospitality,10.1287/isre.2023.0229,Understanding and Mitigating the Robot Disadvantage in Luxury Services: The Role of Desire for Superiority
online platform decision aids and consumer choice quality,10.1287/isre.2022.0432,Do Reductions in Search Costs for Partial Information on Online Platforms Lead to Better Consumer Decisions? Evidence of Cognitive Miser Behavior from a Natural Experiment
bounded rationality in e-commerce search tool design,10.1287/isre.2022.0432,Do Reductions in Search Costs for Partial Information on Online Platforms Lead to Better Consumer Decisions? Evidence of Cognitive Miser Behavior from a Natural Experiment
unintended consequences of AI recommendation systems on user decisions,10.1287/isre.2022.0432,Do Reductions in Search Costs for Partial Information on Online Platforms Lead to Better Consumer Decisions? Evidence of Cognitive Miser Behavior from a Natural Experiment
cybersecurity risk management disclosure impact on firm performance,10.1287/isre.2022.0405,Is Prevention Better Than Cure? Effects of Cyber Risk Disclosures on Shareholder Response to Breaches
Prospect Theory application to information security investment decisions,10.1287/isre.2022.0405,Is Prevention Better Than Cure? Effects of Cyber Risk Disclosures on Shareholder Response to Breaches
shareholder value effects of information security transparency and breaches,10.1287/isre.2022.0405,Is Prevention Better Than Cure? Effects of Cyber Risk Disclosures on Shareholder Response to Breaches
IT intervention design to improve user decision quality and security behaviors,10.1287/isre.2023.0372,"A General-Purpose IT Intervention to Improve Human Decision Making, Strengthen Passwords, and Reduce Receptivity to Misinformation"
Dual-process theory application in information systems for behavioral security,10.1287/isre.2023.0372,"A General-Purpose IT Intervention to Improve Human Decision Making, Strengthen Passwords, and Reduce Receptivity to Misinformation"
How system response delay influences password strength and misinformation resistance,10.1287/isre.2023.0372,"A General-Purpose IT Intervention to Improve Human Decision Making, Strengthen Passwords, and Reduce Receptivity to Misinformation"
online crowdfunding platform adoption and public perception,10.1287/isre.2022.0536,When Top-Down Meets Bottom-Up: Legislative Signals and Online Crowdfunding
signaling theory application in digital fundraising platforms,10.1287/isre.2022.0536,When Top-Down Meets Bottom-Up: Legislative Signals and Online Crowdfunding
legislative impact on user trust and resource mobilization in crowdfunding,10.1287/isre.2022.0536,When Top-Down Meets Bottom-Up: Legislative Signals and Online Crowdfunding
virtual team performance in online healthcare service platforms,10.1287/isre.2022.0689,Team Makes You Better: Evidence from Online Medical Consultation Platforms
Social Comparison Theory application in digital health professional communities,10.1287/isre.2022.0689,Team Makes You Better: Evidence from Online Medical Consultation Platforms
peer effects on physician effort and service quality in telemedicine,10.1287/isre.2022.0689,Team Makes You Better: Evidence from Online Medical Consultation Platforms
Human-AI collaboration effectiveness in organizational decision support systems,10.1287/isre.2024.1431,Knowing (Not) to Know: Explainable Artificial Intelligence and Human Metacognition
Metacognition theory application in explainable AI adoption and trust,10.1287/isre.2024.1431,Knowing (Not) to Know: Explainable Artificial Intelligence and Human Metacognition
Improving expert decision accuracy with XAI interfaces and user awareness,10.1287/isre.2024.1431,Knowing (Not) to Know: Explainable Artificial Intelligence and Human Metacognition
social influence and user learning in digital content platforms,10.1287/isre.2022.0465,Learning When Reading: Evidence from an Online Mobile Reading Platform
Bayesian learning model for peer comments in online media consumption,10.1287/isre.2022.0465,Learning When Reading: Evidence from an Online Mobile Reading Platform
consumer learning from real-time social feedback on mobile reading apps,10.1287/isre.2022.0465,Learning When Reading: Evidence from an Online Mobile Reading Platform
meta-analysis of antecedents for crowdfunding project success,10.1287/isre.2022.0640,Crowdfunding Success Factors: A Meta-Analytic Investigation
Elaboration Likelihood Model application in crowdfunding platform adoption,10.1287/isre.2022.0640,Crowdfunding Success Factors: A Meta-Analytic Investigation
central and peripheral cues influencing backer funding intention,10.1287/isre.2022.0640,Crowdfunding Success Factors: A Meta-Analytic Investigation
platform governance and the value of digital skill signals,10.1287/isre.2023.0303,All That Glitters Is Not Gold: The Impact of Certification Test Costs in Online Labor Markets
signaling theory application in online labor market design,10.1287/isre.2023.0303,All That Glitters Is Not Gold: The Impact of Certification Test Costs in Online Labor Markets
impact of free certifications on employer trust and hiring outcomes,10.1287/isre.2023.0303,All That Glitters Is Not Gold: The Impact of Certification Test Costs in Online Labor Markets
fitness technology social influence user well-being and self-esteem,10.1287/isre.2021.0083,Is Fitness Technology-Facilitated Social Comparison the Thief of Well-Being? The Mediating Role of Social Comparison on the Relationships Between Passion and Performance Self-Esteem
social comparison theory in fitness app adoption and continuance,10.1287/isre.2021.0083,Is Fitness Technology-Facilitated Social Comparison the Thief of Well-Being? The Mediating Role of Social Comparison on the Relationships Between Passion and Performance Self-Esteem
negative effects of social comparison features in consumer health applications,10.1287/isre.2021.0083,Is Fitness Technology-Facilitated Social Comparison the Thief of Well-Being? The Mediating Role of Social Comparison on the Relationships Between Passion and Performance Self-Esteem
digital content recommendation systems and consumer behavioral states,10.1287/isre.2022.664,Ephemeral State-Dependent Recommendation for Digital Content
state-dependent decision-making theory in content recommendation algorithms,10.1287/isre.2022.664,Ephemeral State-Dependent Recommendation for Digital Content
personalization strategies for user fixation and foraging in streaming platforms,10.1287/isre.2022.664,Ephemeral State-Dependent Recommendation for Digital Content
organizational factors influencing enterprise system use and job performance,10.1287/isre.2022.0160,"Routine and Innovative Use of Enterprise System: Intricacy of Change Management Levers, System Characteristics, and Regulatory Focus"
regulatory focus theory in enterprise system post-adoption behavior,10.1287/isre.2022.0160,"Routine and Innovative Use of Enterprise System: Intricacy of Change Management Levers, System Characteristics, and Regulatory Focus"
leadership styles and system design impact on ES routine and innovative use,10.1287/isre.2022.0160,"Routine and Innovative Use of Enterprise System: Intricacy of Change Management Levers, System Characteristics, and Regulatory Focus"
agile methodology implementation effects on developer satisfaction and well-being,10.1287/isre.2023.0402,Team-Enacted Use vs. Developer-Needed Use of Agile Practices: How Perceptual (In-)Congruence and Team Feedback-Seeking Shape Developer Well-Being
person-environment fit theory application in agile software development teams,10.1287/isre.2023.0402,Team-Enacted Use vs. Developer-Needed Use of Agile Practices: How Perceptual (In-)Congruence and Team Feedback-Seeking Shape Developer Well-Being
developer well-being outcomes from team-level agile practice adoption incongruence,10.1287/isre.2023.0402,Team-Enacted Use vs. Developer-Needed Use of Agile Practices: How Perceptual (In-)Congruence and Team Feedback-Seeking Shape Developer Well-Being
open innovation platform participation dynamics and information design,10.1287/isre.2017.0320,Framing of Seeker-Generated Information and New Solver Participation in Open Innovation Contests: An Empirical Analysis of the Temporal Effects
signaling theory application in crowdsourcing contest solver engagement,10.1287/isre.2017.0320,Framing of Seeker-Generated Information and New Solver Participation in Open Innovation Contests: An Empirical Analysis of the Temporal Effects
how seeker communication influences solver entry in online innovation communities,10.1287/isre.2017.0320,Framing of Seeker-Generated Information and New Solver Participation in Open Innovation Contests: An Empirical Analysis of the Temporal Effects
AI adaptation to human cognitive biases in collaborative decision support systems,10.1287/isre.2023.0591,Irrationality-Aware Human Machine Collaboration: Mitigating Alterfactual Irrationality in Copy Trading
Bounded rationality and herding behavior in algorithmic trading platforms,10.1287/isre.2023.0591,Irrationality-Aware Human Machine Collaboration: Mitigating Alterfactual Irrationality in Copy Trading
Mitigating identity bias in fintech through human-machine collaboration frameworks,10.1287/isre.2023.0591,Irrationality-Aware Human Machine Collaboration: Mitigating Alterfactual Irrationality in Copy Trading
trust and deception in user-generated content platforms,10.1287/isre.2023.0339,The Illusion of Authenticity in Online Reviews: Truth Bias and the Role of Valence
truth bias theory in online consumer feedback systems,10.1287/isre.2023.0339,The Illusion of Authenticity in Online Reviews: Truth Bias and the Role of Valence
platform design for mitigating fake review influence on purchase intention,10.1287/isre.2023.0339,The Illusion of Authenticity in Online Reviews: Truth Bias and the Role of Valence
collective efficacy antecedents in technology-mediated distributed work,10.1287/isre.2022.0299,Virtual Team Efficacy Theory: An Integrative Sociotechnical Understanding of the Emergence and Ramifications of Collective Efficacy in Virtual Teams
social cognitive theory application to virtual team technology adoption,10.1287/isre.2022.0299,Virtual Team Efficacy Theory: An Integrative Sociotechnical Understanding of the Emergence and Ramifications of Collective Efficacy in Virtual Teams
integrative model for team efficacy emergence in IS-enabled collaboration,10.1287/isre.2022.0299,Virtual Team Efficacy Theory: An Integrative Sociotechnical Understanding of the Emergence and Ramifications of Collective Efficacy in Virtual Teams
e-commerce interface design to reduce shopping cart abandonment,10.1287/isre.2021.0085,Push It Cross the Finish Line—Designing Online Interfaces to Induce Choice Closure at the Postdecision Prepurchase Stage
choice closure theory in online consumer decision-making,10.1287/isre.2021.0085,Push It Cross the Finish Line—Designing Online Interfaces to Induce Choice Closure at the Postdecision Prepurchase Stage
website features that increase purchase intention and decision finality,10.1287/isre.2021.0085,Push It Cross the Finish Line—Designing Online Interfaces to Induce Choice Closure at the Postdecision Prepurchase Stage
online review bias local versus tourist consumer perception,10.1287/isre.2020.0620,Why Is the Grass Always Greener on the Other Side? Tourist Bias in Online Restaurant Ratings
regulatory focus theory online restaurant ratings platform,10.1287/isre.2020.0620,Why Is the Grass Always Greener on the Other Side? Tourist Bias in Online Restaurant Ratings
user-generated content validity for service quality assessment,10.1287/isre.2020.0620,Why Is the Grass Always Greener on the Other Side? Tourist Bias in Online Restaurant Ratings
user interface design effects on cognitive processing and decision making,10.1287/isre.2023.0191,Do We Think Differently When Tapping the Screen or Clicking the Mouse? Effects of Computer Interfaces on Level of Construal
construal level theory application to human-computer interaction and technology adoption,10.1287/isre.2023.0191,Do We Think Differently When Tapping the Screen or Clicking the Mouse? Effects of Computer Interfaces on Level of Construal
touchscreen versus mouse interaction impact on user perception and continuance intention,10.1287/isre.2023.0191,Do We Think Differently When Tapping the Screen or Clicking the Mouse? Effects of Computer Interfaces on Level of Construal
AI adoption impact on firm innovation strategy during leadership change,10.1287/isre.2024.0970,"Artificial Intelligence, CEO Turnover, and Exploration Orientation in Firm Innovation"
Bounded rationality theory in AI and organizational innovation decisions,10.1287/isre.2024.0970,"Artificial Intelligence, CEO Turnover, and Exploration Orientation in Firm Innovation"
CEO succession explorative innovation enabled by artificial intelligence systems,10.1287/isre.2024.0970,"Artificial Intelligence, CEO Turnover, and Exploration Orientation in Firm Innovation"
B2B data sharing and customer compliance with automated agents,10.1287/isre.2023.0478,Agent-Based Data Curation Practices: Customer Responses to Human versus Algorithmic Data Requesters in Established Business-to-Business Relationships
Signaling theory application in algorithmic versus human data curation,10.1287/isre.2023.0478,Agent-Based Data Curation Practices: Customer Responses to Human versus Algorithmic Data Requesters in Established Business-to-Business Relationships
Impact of AI agent trust on data provision in vendor relationships,10.1287/isre.2023.0478,Agent-Based Data Curation Practices: Customer Responses to Human versus Algorithmic Data Requesters in Established Business-to-Business Relationships
crowdsourced misinformation mitigation on social media platforms,10.1287/isre.2024.1609,Can Crowdchecking Curb Misinformation? Evidence from Community Notes
signaling theory application in user-generated content moderation,10.1287/isre.2024.1609,Can Crowdchecking Curb Misinformation? Evidence from Community Notes
effectiveness of community-based fact-checking systems for user adoption,10.1287/isre.2024.1609,Can Crowdchecking Curb Misinformation? Evidence from Community Notes
platform governance and small business owner adoption of digital profiles,10.1287/isre.2024.1305,To Claim or Not To Claim? Hidden Costs of Business Page Claiming
signaling theory application to online business verification and user perceptions,10.1287/isre.2024.1305,To Claim or Not To Claim? Hidden Costs of Business Page Claiming
negative impact of business page claiming on customer satisfaction and ratings,10.1287/isre.2024.1305,To Claim or Not To Claim? Hidden Costs of Business Page Claiming
AI-driven localization technology adoption in global media entertainment,10.1287/isre.2024.1079,The Creation of Immersive Experiences in Transcultural Entertainment: An Action Design Process Focused on Neural Rendering
Presence theory application in transcultural digital content adaptation,10.1287/isre.2024.1079,The Creation of Immersive Experiences in Transcultural Entertainment: An Action Design Process Focused on Neural Rendering
Neural rendering for enhancing viewer immersion in foreign film dubbing,10.1287/isre.2024.1079,The Creation of Immersive Experiences in Transcultural Entertainment: An Action Design Process Focused on Neural Rendering
user coping mechanisms for continued effective use of wearable technology,10.1287/isre.2022.0541,Between Human and System Agency: Coping with Negative Incidents for Continued Effective Use of Wearables
self-determination theory and wearable device continuance intention,10.1287/isre.2022.0541,Between Human and System Agency: Coping with Negative Incidents for Continued Effective Use of Wearables
managing negative incidents to sustain effective health wearable use,10.1287/isre.2022.0541,Between Human and System Agency: Coping with Negative Incidents for Continued Effective Use of Wearables
identity disclosure effects on customer satisfaction in digital service platforms,10.1287/isre.2023.0499,Two-Sided Impacts of Service Provider’s Identity Disclosure in e-Customer Service Platforms: Evidence from Two Field Experiments
signaling theory social identity theory online complaint resolution platforms,10.1287/isre.2023.0499,Two-Sided Impacts of Service Provider’s Identity Disclosure in e-Customer Service Platforms: Evidence from Two Field Experiments
service provider anonymity versus transparency impact on user trust and bias,10.1287/isre.2023.0499,Two-Sided Impacts of Service Provider’s Identity Disclosure in e-Customer Service Platforms: Evidence from Two Field Experiments
social media engagement and user identity disclosure effects,10.1287/isre.2020.0335,From Anonymity to Accountability: How Virtual Identity Disclosure Changes the Quantity and Quality of “Likes”
self-presentation theory in online community participation,10.1287/isre.2020.0335,From Anonymity to Accountability: How Virtual Identity Disclosure Changes the Quantity and Quality of “Likes”
virtual identity accountability impact on content endorsement quality,10.1287/isre.2020.0335,From Anonymity to Accountability: How Virtual Identity Disclosure Changes the Quantity and Quality of “Likes”
e-commerce website design and customer post-purchase satisfaction,10.1287/isre.2022.0575,How Product Display Orientation Affects Customers’ Choice Satisfaction in Online Purchase: A Choice Closure Perspective
choice closure theory in online retail product presentation,10.1287/isre.2022.0575,How Product Display Orientation Affects Customers’ Choice Satisfaction in Online Purchase: A Choice Closure Perspective
reducing order cancellations through visual product display layout,10.1287/isre.2022.0575,How Product Display Orientation Affects Customers’ Choice Satisfaction in Online Purchase: A Choice Closure Perspective
professional identity resistance technology adoption organizational change,10.1287/isre.2021.0534,Identity Work in Interdependent Professional Groups: The Role of a Target Identity in Enterprise Systems Implementation
identity theory technology implementation professional work roles,10.1287/isre.2021.0534,Identity Work in Interdependent Professional Groups: The Role of a Target Identity in Enterprise Systems Implementation
enterprise system user acceptance group dynamics identity threat,10.1287/isre.2021.0534,Identity Work in Interdependent Professional Groups: The Role of a Target Identity in Enterprise Systems Implementation
user-generated content monetization in fintech social platforms,10.1287/isre.2022.0482,Strategic Content Generation and Monetization in Financial Social Media
confirmation bias in financial information systems and social media,10.1287/isre.2022.0482,Strategic Content Generation and Monetization in Financial Social Media
social media analyst strategies for investor engagement and revenue,10.1287/isre.2022.0482,Strategic Content Generation and Monetization in Financial Social Media
Social media platform design for combating health misinformation,10.1287/isre.2021.0491,A Nudge to Credible Information as a Countermeasure to Misinformation: Evidence from Twitter
Nudge theory application in social media information credibility interventions,10.1287/isre.2021.0491,A Nudge to Credible Information as a Countermeasure to Misinformation: Evidence from Twitter
Countermeasure effectiveness of credibility cues on user information adoption,10.1287/isre.2021.0491,A Nudge to Credible Information as a Countermeasure to Misinformation: Evidence from Twitter
investor decision-making in online lending platforms,10.1287/isre.2020.0428,Understanding Lenders’ Investment Behavior in Online Peer-to-Peer Lending: A Construal Level Theory Perspective
Construal Level Theory application in peer-to-peer lending,10.1287/isre.2020.0428,Understanding Lenders’ Investment Behavior in Online Peer-to-Peer Lending: A Construal Level Theory Perspective
how psychological distance affects lender behavior in fintech,10.1287/isre.2020.0428,Understanding Lenders’ Investment Behavior in Online Peer-to-Peer Lending: A Construal Level Theory Perspective
employee security compliance organizational trust and control mechanisms,10.1287/isre.2021.0528,Exploring Contrasting Effects of Trust in Organizational Security Practices and Protective Structures on Employees’ Security-Related Precaution Taking
trust theory application information security precautionary behavior,10.1287/isre.2021.0528,Exploring Contrasting Effects of Trust in Organizational Security Practices and Protective Structures on Employees’ Security-Related Precaution Taking
how organizational security practices influence employee protective intentions,10.1287/isre.2021.0528,Exploring Contrasting Effects of Trust in Organizational Security Practices and Protective Structures on Employees’ Security-Related Precaution Taking
crowdfunding platform design for social venture donor behavior,10.1287/isre.2022.0318,An Experimental Evaluation of Gender Differences in Responses to Major-Donor Funding Schemes for Crowdfunded Social Ventures
signaling theory application in online donation and social influence,10.1287/isre.2022.0318,An Experimental Evaluation of Gender Differences in Responses to Major-Donor Funding Schemes for Crowdfunded Social Ventures
gender differences in technology-mediated charitable giving adoption,10.1287/isre.2022.0318,An Experimental Evaluation of Gender Differences in Responses to Major-Donor Funding Schemes for Crowdfunded Social Ventures
social influence on user resistance to persuasive advertising in social media,10.1287/isre.2021.0606,The Effect of Popularity Cues and Peer Endorsements on Assertive Social Media Ads
Persuasion Knowledge Model application to social media advertising effectiveness,10.1287/isre.2021.0606,The Effect of Popularity Cues and Peer Endorsements on Assertive Social Media Ads
how peer endorsements negatively impact conversion for direct call-to-action ads,10.1287/isre.2021.0606,The Effect of Popularity Cues and Peer Endorsements on Assertive Social Media Ads
online advertising skepticism and user engagement with sponsored content,10.1287/isre.2021.0364,Addressing Online Users’ Suspicion of Sponsored Search Results: Effects of Informational Cues
signaling theory application to trust in search engine marketing,10.1287/isre.2021.0364,Addressing Online Users’ Suspicion of Sponsored Search Results: Effects of Informational Cues
mitigating consumer suspicion of targeted ads with informational cues,10.1287/isre.2021.0364,Addressing Online Users’ Suspicion of Sponsored Search Results: Effects of Informational Cues
daily technostress impact on employee deviant behavior in organizations,10.1287/isre.2020.0273,Understanding the Dynamic and Episodic Nature of Technostressors and Their Effects on Cyberdeviance: A Daily Field Investigation
social cognitive theory applied to workplace technology stress and misconduct,10.1287/isre.2020.0273,Understanding the Dynamic and Episodic Nature of Technostressors and Their Effects on Cyberdeviance: A Daily Field Investigation
managerial interventions to reduce technostressors and prevent cyberdeviance,10.1287/isre.2020.0273,Understanding the Dynamic and Episodic Nature of Technostressors and Their Effects on Cyberdeviance: A Daily Field Investigation
online dating platform design for user privacy and initial engagement,10.1287/isre.2021.0379,Enhancing User Privacy Through Ephemeral Sharing Design: Experimental Evidence from Online Dating
privacy calculus application in ephemeral features for social networking,10.1287/isre.2021.0379,Enhancing User Privacy Through Ephemeral Sharing Design: Experimental Evidence from Online Dating
ephemeral sharing feature impact on trust and adoption in dating apps,10.1287/isre.2021.0379,Enhancing User Privacy Through Ephemeral Sharing Design: Experimental Evidence from Online Dating
online review manipulation and competitive dynamics in digital platforms,10.1287/isre.2023.0179,Win by Hook or Crook? Self-Injecting Favorable Online Reviews to Fight Adjacent Rivals
mutual forbearance theory application to unethical behavior in e-commerce,10.1287/isre.2023.0179,Win by Hook or Crook? Self-Injecting Favorable Online Reviews to Fight Adjacent Rivals
competitive deterrence effects on user-generated content fraud between rivals,10.1287/isre.2023.0179,Win by Hook or Crook? Self-Injecting Favorable Online Reviews to Fight Adjacent Rivals
